response1,response2
0.2291,1
0.4392,0
0.4796,0
0.5117,0
0.4975,0
0.4729,0
0.4066,1
0.1312,0
0.3979,0
0.4409,1
0.4483,1
0.4315,0
0.4163,1
0.5067,0
0.407,0
0.4143,1
0.5297,0
0.1267,0
0.4681,0
0.2537,0
0.4411,0
0.4452,1
0.5113,0
0.3934,1
0.2757,1
0.2382,0
0.4422,0
0.4488,0
0.4523,1
0.326,0
0.4356,0
0.4825,1
0.4435,1
0.3641,1
0.4423,0
0.5032,0
0.4643,0
0.4459,1
0.5103,1
0.3864,0
0.4191,0
0.4912,0
0.4752,1
0.4359,0
0.5192,1
0.5071,0
0.4431,0
0.4978,0
0.4258,0
0.3067,1
0.5009,0
0.4451,1
0.3548,0
0.3594,0
0.3483,0
0.4831,0
0.4329,1
0.3092,0
0.3605,0
0.4215,0
0.4667,0
0.471,0
0.4607,1
0.5026,1
0.5292,1
0.0212,0
0.4407,1
0.4392,0
0.3734,1
0.4414,1
0.3969,0
0.5275,0
0.0747,0
0.4582,1
0.2011,0
0.3572,0
0.4048,0
0.5073,0
0.4833,1
0.4477,1
0.3794,0
0.4783,0
0.3795,0
0.4631,1
0.0047,1
0.4165,0
0.4229,0
0.3988,0
0.3834,0
0.4541,0